no;site;fimp;sconn;sdensep;unsealden;fcarea;selev;amgeast;ldoc;lec;lnox
1;Bg;0.511595743;0.752215395;7.26636085;0.005821574;1.551280988;11.53256259;351992;0.921133402;2.676678116;0.15539209
2;Br;0.68359635;0.945374529;6.14817046;0.000295345;1.961025479;9.055385138;350706;0.703310474;2.802651222;-0.299518346
3;Da;0.397642522;0.41298184;7.842193571;0.013312857;1.435075931;12.40967365;352585;0.378648523;2.0842518;0.028462343
4;Do;0.525816939;0.688695143;6.618156843;0.012302183;1.382612109;12.9614814;352500;0.478593669;2.269065774;0.129146496
5;Dt;0.432846792;0.345794737;7.90569415;0.017589067;1.288037202;13.15294644;352780;0.388332665;2.33825786;0.099080064
6;Em;0.386073841;0;7.655063684;0.010000018;1.170499549;17.02938637;358831;0.194738752;1.916146006;0.026080339
7;Fe;0.58958739;0.88774039;8.966604709;0.004386429;1.591522329;12.76714533;352696;0.725759862;2.638112396;0.125120106
8;Ga;0.829084154;0.99093693;0;0;1.770043642;9;337030;0.720790158;2.671791719;-0.49241482
9;Ly;0.164235845;0;0;0.017359571;1.640233996;14.89966443;358953;0.390210304;1.918716028;-0.514814392
10;Mc;0.166720212;0;1.183215957;0.004718112;1.902516252;14.14213562;375893;0.506251509;1.891079302;-0.592217461
11;Ol;0.443382907;0.173545383;9.391485505;0.01506011;1.735294674;14.89966443;358938;0.333896323;2.044269242;0.165586743
12;Pe;0.478838701;0.444201531;8.654478609;0.007291771;1.214584399;18.08314132;356620;0.234602319;1.992058417;0.208113821
13;Sa;0.532238295;0.287953121;11.87434209;0.012958804;1.172986543;19.23538406;355774;0.266767257;2.043949872;0.2257321
14;Sc;0.789275527;0.993415321;0;0;1.688246016;8.831760866;335836;0.697577682;2.60951542;-0.565879585
15;St;0.566866676;0.764329118;6.920982589;0.006726084;1.457400036;11.70469991;360027;0.80419607;2.810313295;-0.732662258
